Timings,Bus 1,Bus 2,,,
6:11,1,2,,,
6:17,1,2,,,
6:19,1,2,,,
6:22,1,2,,,
6:27,1,2,,,
6:33,1,2,,,
6:35,1,2,,,
6:37,3,1,,,
6:47,3,1,,,
6:57,3,1,,,
6:57,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:20,3,1,,,
7:21,3,1,,,
7:23,3,1,,,
7:24,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:34,3,1,,,
7:38,3,1,,,
7:38,3,1,,,
7:38,3,1,,,
7:41,3,1,,,
7:42,3,1,,,
7:42,3,1,,,s
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:42,3,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:43,1,1,,,
7:51,3,1,,,
7:53,3,1,,,
7:55,2,3,,,
7:57,2,3,,,
8:00,2,3,,,
8:02,2,3,,,
8:03,2,3,,,
8:06,2,3,,,
8:06,2,3,,,
8:06,2,3,,,
8:09,2,3,,,
8:14,2,3,,,
8:14,2,3,,,
8:15,2,3,,,
8:15,2,3,,,
8:19,2,3,,,
8:21,2,3,,,
8:22,2,3,,,
8:22,2,3,,,
8:23,2,3,,,
8:24,2,3,,,
8:28,2,3,,,
8:28,2,3,,,
8:28,2,3,,,
8:31,1,3,,,
8:31,1,3,,,
8:31,1,3,,,
8:31,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:32,1,3,,,
8:33,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:34,1,3,,,
8:35,2,3,,,
8:35,2,3,,,
8:35,2,3,,,
8:39,2,3,,,
8:40,2,3,,,
8:41,2,3,,,
8:44,2,3,,,
8:44,2,3,,,
8:45,2,3,,,
8:46,1,3,,,
8:50,1,3,,,
8:50,1,0,,,
8:50,1,0,,,
8:54,1,0,,,
8:54,1,0,,,
8:56,1,0,,,
8:58,1,0,,,
8:58,1,0,,,
8:59,1,0,,,
9:01,1,1,,,
9:01,1,1,,,
9:03,1,1,,,
9:04,1,1,,,
9:04,1,1,,,
9:04,1,1,,,
9:07,1,1,,,
9:07,1,1,,,
9:07,1,1,,,
9:08,2,1,,,
9:08,2,1,,,
9:09,2,1,,,
9:09,2,1,,,
9:10,2,2,,,
9:10,2,2,,,
9:11,2,2,,,
9:11,2,2,,,
9:11,2,2,,,
9:14,2,2,,,
9:14,2,2,,,
9:16,2,2,,,
9:18,2,2,,,
9:18,2,2,,,
9:19,2,2,,,
9:20,2,2,,,
9:20,2,2,,,
9:21,2,2,,,
9:22,2,2,,,
9:23,2,2,,,
9:23,2,2,,,
9:23,2,2,,,
9:24,2,2,,,
9:25,2,2,,,
9:25,2,2,,,
9:25,2,2,,,
9:26,2,2,,,
9:28,2,2,,,
9:29,2,2,,,
9:29,2,2,,,
9:30,2,2,,,
